session_id,user_id,session_start,session_end,device_id,browser,traffic_source,events_count
S000079,U00238,2025-09-09 15:06:59.390338,2025-09-09 15:27:34.390338,D1,Edge,Email,3
S000080,U00708,2025-09-09 11:18:12.390338,2025-09-09 11:36:10.390338,D3,Firefox,Direct,3
S000081,U00066,2025-09-09 22:32:53.390338,2025-09-09 22:45:39.390338,D2,Firefox,Email,3
S000082,U01066,2025-09-09 16:31:47.390338,2025-09-09 17:05:15.390338,D3,Firefox,Google,4
S000083,U01801,2025-09-09 07:40:45.390338,2025-09-09 07:48:51.390338,D1,Edge,Facebook,2
S000084,U01509,2025-09-10 00:38:07.390338,2025-09-10 00:46:30.390338,D1,Firefox,Email,3
S000085,U01815,2025-09-09 19:30:04.390338,2025-09-09 19:49:24.390338,D2,Firefox,Facebook,4
S000086,U01110,2025-09-10 01:21:32.390338,2025-09-10 01:42:13.390338,D2,Chrome,Facebook,4
S000087,U00710,2025-09-09 04:51:57.390338,2025-09-09 04:59:03.390338,D3,Edge,Organic,3
S000088,U00512,2025-09-09 17:26:02.390338,2025-09-09 17:37:24.390338,D3,Firefox,Google,2
S000089,U00920,2025-09-09 16:27:57.390338,2025-09-09 16:50:02.390338,D2,Chrome,Facebook,4
S000090,U00453,2025-09-09 19:29:58.390338,2025-09-09 19:46:04.390338,D2,Chrome,Direct,3
S000091,U00248,2025-09-09 10:33:37.390338,2025-09-09 10:38:40.390338,D3,Chrome,Google,4
S000092,U00169,2025-09-09 07:40:51.390338,2025-09-09 07:53:20.390338,D3,Safari,Email,2
S000093,U00481,2025-09-09 14:42:54.390338,2025-09-09 14:43:37.390338,D2,Safari,Facebook,1
S000094,U01907,2025-09-10 08:53:50.390338,2025-09-10 09:11:17.390338,D2,Chrome,Direct,3
S000095,U00953,2025-09-11 03:02:50.390338,2025-09-11 03:10:56.390338,D2,Chrome,Organic,3
S000096,U00199,2025-09-10 08:54:52.390338,2025-09-10 09:02:50.390338,D2,Chrome,Direct,3
S000097,U00866,2025-09-11 02:29:35.390338,2025-09-11 02:42:54.390338,D1,Edge,Facebook,3
S000098,U00868,2025-09-10 22:07:24.390338,2025-09-10 22:29:35.390338,D1,Firefox,Email,4
S000099,U01809,2025-09-11 00:16:13.390338,2025-09-11 00:38:43.390338,D1,Chrome,Google,5
S000100,U01251,2025-09-10 21:06:28.390338,2025-09-10 21:23:48.390338,D3,Edge,Facebook,3
S000101,U01762,2025-09-10 16:02:50.390338,2025-09-10 16:14:59.390338,D3,Firefox,Email,2
S000102,U01736,2025-09-10 20:12:51.390338,2025-09-10 20:33:14.390338,D1,Chrome,Google,3
S000103,U01397,2025-09-10 10:35:43.390338,2025-09-10 10:48:29.390338,D2,Edge,Direct,3
S000104,U01167,2025-09-10 19:56:55.390338,2025-09-10 20:07:55.390338,D2,Safari,Email,3
S000105,U01499,2025-09-10 05:10:15.390338,2025-09-10 05:35:14.390338,D2,Edge,Direct,3
S000106,U00583,2025-09-10 10:01:53.390338,2025-09-10 10:05:44.390338,D2,Edge,Organic,1
S000107,U01210,2025-09-10 13:38:45.390338,2025-09-10 13:41:35.390338,D3,Safari,Google,1
S000108,U00736,2025-09-10 23:31:13.390338,2025-09-10 23:44:39.390338,D1,Chrome,Facebook,3
S000109,U01596,2025-09-10 14:40:46.390338,2025-09-10 15:01:13.390338,D2,Chrome,Google,4
S000110,U00991,2025-09-10 11:17:45.390338,2025-09-10 11:49:07.390338,D2,Edge,Facebook,4
S000111,U01086,2025-09-10 04:45:28.390338,2025-09-10 04:56:19.390338,D3,Firefox,Organic,2
S000112,U00561,2025-09-10 17:23:53.390338,2025-09-10 17:31:40.390338,D2,Firefox,Organic,1
S000113,U01661,2025-09-11 00:07:57.390338,2025-09-11 00:11:39.390338,D3,Firefox,Organic,2
S000114,U00877,2025-09-10 04:31:14.390338,2025-09-10 04:38:22.390338,D1,Firefox,Google,1
S000115,U00220,2025-09-10 09:18:47.390338,2025-09-10 09:27:40.390338,D1,Safari,Google,2
S000116,U00673,2025-09-10 22:27:24.390338,2025-09-10 22:36:51.390338,D1,Firefox,Direct,2
S000117,U01019,2025-09-10 17:34:02.390338,2025-09-10 17:46:49.390338,D2,Chrome,Facebook,2
S000118,U01056,2025-09-10 14:10:57.390338,2025-09-10 14:26:50.390338,D3,Chrome,Google,2
S000119,U00214,2025-09-10 10:00:18.390338,2025-09-10 10:08:39.390338,D3,Edge,Email,2
S000120,U00544,2025-09-10 21:38:09.390338,2025-09-10 21:47:46.390338,D3,Edge,Google,2
S000121,U00480,2025-09-10 18:18:34.390338,2025-09-10 18:28:41.390338,D2,Edge,Google,3
S000122,U01640,2025-09-10 09:20:51.390338,2025-09-10 09:30:20.390338,D1,Edge,Email,3
S000123,U01101,2025-09-10 16:07:54.390338,2025-09-10 16:10:30.390338,D1,Firefox,Email,2
S000124,U01326,2025-09-10 13:28:10.390338,2025-09-10 13:51:04.390338,D1,Edge,Google,3
S000125,U01309,2025-09-10 14:52:34.390338,2025-09-10 15:10:30.390338,D2,Edge,Facebook,3
S000126,U01837,2025-09-10 08:44:44.390338,2025-09-10 08:50:35.390338,D3,Chrome,Organic,2
S000127,U01074,2025-09-11 00:18:38.390338,2025-09-11 00:29:06.390338,D2,Firefox,Organic,3
S000128,U00457,2025-09-11 01:28:47.390338,2025-09-11 01:42:06.390338,D3,Chrome,Google,2
S000129,U01013,2025-09-10 20:52:50.390338,2025-09-10 21:15:30.390338,D3,Edge,Google,4
S000130,U01493,2025-09-10 08:48:25.390338,2025-09-10 08:55:13.390338,D3,Edge,Google,2
S000131,U01371,2025-09-10 03:38:00.390338,2025-09-10 03:41:23.390338,D3,Chrome,Email,3
S000132,U01663,2025-09-10 13:52:44.390338,2025-09-10 14:02:42.390338,D1,Chrome,Email,3
S000133,U00243,2025-09-10 14:03:53.390338,2025-09-10 14:15:51.390338,D2,Safari,Google,3
S000134,U01746,2025-09-10 13:49:58.390338,2025-09-10 14:04:27.390338,D2,Firefox,Facebook,2
S000135,U01728,2025-09-10 09:44:57.390338,2025-09-10 09:54:13.390338,D3,Chrome,Direct,3
S000136,U01953,2025-09-10 04:48:22.390338,2025-09-10 05:05:17.390338,D2,Firefox,Direct,3
S000137,U00561,2025-09-10 04:21:38.390338,2025-09-10 04:32:34.390338,D1,Firefox,Organic,2
S000138,U01165,2025-09-11 02:29:52.390338,2025-09-11 02:35:20.390338,D1,Safari,Google,1
S000139,U01304,2025-09-10 05:14:48.390338,2025-09-10 05:33:59.390338,D2,Safari,Google,3
S000140,U01908,2025-09-11 02:14:52.390338,2025-09-11 02:26:42.390338,D3,Safari,Facebook,3
S000141,U00828,2025-09-10 14:06:37.390338,2025-09-10 14:28:00.390338,D2,Edge,Organic,4
S000142,U00477,2025-09-11 02:40:59.390338,2025-09-11 02:50:40.390338,D3,Chrome,Organic,2
S000143,U01934,2025-09-10 05:21:37.390338,2025-09-10 05:38:59.390338,D1,Edge,Facebook,3
S000144,U01021,2025-09-10 22:24:35.390338,2025-09-10 22:45:13.390338,D3,Safari,Google,3
S000145,U01306,2025-09-10 20:44:13.390338,2025-09-10 20:52:56.390338,D1,Edge,Facebook,2
S000146,U01760,2025-09-10 09:28:33.390338,2025-09-10 09:37:05.390338,D3,Chrome,Email,1
S000147,U01249,2025-09-10 19:18:37.390338,2025-09-10 19:47:43.390338,D3,Firefox,Google,5
S000148,U00640,2025-09-10 09:30:49.390338,2025-09-10 09:47:38.390338,D2,Chrome,Direct,3
S000149,U01175,2025-09-10 03:59:11.390338,2025-09-10 04:11:15.390338,D3,Firefox,Direct,2
S000150,U01617,2025-09-10 23:30:52.390338,2025-09-10 23:58:27.390338,D3,Safari,Facebook,4
S000151,U01530,2025-09-11 01:03:01.390338,2025-09-11 01:17:13.390338,D2,Safari,Facebook,2
S000152,U01222,2025-09-10 03:40:22.390338,2025-09-10 04:00:57.390338,D3,Firefox,Direct,3
S000153,U01972,2025-09-10 15:09:00.390338,2025-09-10 15:26:27.390338,D2,Edge,Organic,2
S000154,U00573,2025-09-10 22:17:30.390338,2025-09-10 22:24:50.390338,D2,Edge,Facebook,2
S000155,U01614,2025-09-10 06:48:18.390338,2025-09-10 06:58:18.390338,D3,Firefox,Email,3
S000156,U01204,2025-09-10 06:05:04.390338,2025-09-10 06:21:11.390338,D2,Chrome,Organic,3
S000157,U00015,2025-09-11 00:52:00.390338,2025-09-11 01:01:18.390338,D2,Chrome,Facebook,3
S000158,U01689,2025-09-11 00:48:14.390338,2025-09-11 01:02:14.390338,D3,Chrome,Google,2
S000159,U00967,2025-09-10 17:21:43.390338,2025-09-10 17:38:49.390338,D1,Chrome,Organic,4
S000160,U01109,2025-09-11 03:02:31.390338,2025-09-11 03:15:57.390338,D2,Chrome,Email,2
S000161,U00518,2025-09-10 20:32:07.390338,2025-09-10 20:48:55.390338,D1,Firefox,Organic,2
S000162,U00218,2025-09-10 12:57:17.390338,2025-09-10 13:01:47.390338,D2,Firefox,Google,1
S000163,U01703,2025-09-10 12:30:51.390338,2025-09-10 12:35:43.390338,D2,Chrome,Facebook,3
S000164,U01920,2025-09-10 23:44:46.390338,2025-09-10 23:57:16.390338,D3,Firefox,Organic,3
S000165,U01476,2025-09-10 08:44:54.390338,2025-09-10 08:54:12.390338,D2,Chrome,Direct,3
S000166,U01818,2025-09-11 00:25:37.390338,2025-09-11 00:40:32.390338,D3,Firefox,Email,2
S000167,U00570,2025-09-10 21:58:47.390338,2025-09-10 22:06:49.390338,D1,Chrome,Facebook,1
S000168,U01205,2025-09-11 00:44:37.390338,2025-09-11 00:58:53.390338,D3,Chrome,Email,3
S000169,U00750,2025-09-10 18:35:12.390338,2025-09-10 18:44:18.390338,D1,Safari,Google,2
S000170,U01111,2025-09-10 06:12:56.390338,2025-09-10 06:23:14.390338,D1,Safari,Google,2
S000171,U01776,2025-09-10 09:11:12.390338,2025-09-10 09:24:50.390338,D1,Chrome,Facebook,3
S000172,U01613,2025-09-10 04:56:12.390338,2025-09-10 05:05:36.390338,D2,Safari,Google,2
S000173,U01612,2025-09-10 13:36:34.390338,2025-09-10 13:45:25.390338,D1,Safari,Email,1
S000174,U01918,2025-09-10 23:41:13.390338,2025-09-11 00:02:18.390338,D2,Chrome,Email,3
S000175,U01507,2025-09-11 02:21:46.390338,2025-09-11 02:47:05.390338,D3,Edge,Google,3
S000176,U01244,2025-09-10 12:30:15.390338,2025-09-10 12:37:08.390338,D3,Chrome,Google,2
S000177,U01715,2025-09-11 03:18:45.390338,2025-09-11 03:32:56.390338,D1,Edge,Google,3
S000178,U00305,2025-09-10 20:18:28.390338,2025-09-10 20:39:13.390338,D1,Edge,Google,3
S000179,U00591,2025-09-10 08:43:19.390338,2025-09-10 09:10:54.390338,D3,Safari,Email,3
S000180,U01368,2025-09-10 17:52:19.390338,2025-09-10 18:00:31.390338,D3,Chrome,Organic,1
S000181,U01859,2025-09-10 15:54:41.390338,2025-09-10 16:08:50.390338,D3,Chrome,Direct,4
S000182,U01575,2025-09-10 08:18:39.390338,2025-09-10 08:33:13.390338,D2,Firefox,Direct,5
S000183,U01749,2025-09-10 22:31:29.390338,2025-09-10 22:37:58.390338,D1,Edge,Email,1
S000184,U00646,2025-09-10 18:50:10.390338,2025-09-10 19:00:06.390338,D1,Firefox,Organic,3
S000185,U01610,2025-09-10 05:56:16.390338,2025-09-10 06:17:05.390338,D3,Firefox,Organic,3
S000186,U01373,2025-09-10 23:52:17.390338,2025-09-10 23:57:02.390338,D3,Safari,Email,1
S000187,U00319,2025-09-11 01:40:20.390338,2025-09-11 02:06:59.390338,D2,Chrome,Email,4
S000188,U01826,2025-09-10 15:44:28.390338,2025-09-10 15:59:16.390338,D3,Chrome,Facebook,2
S000189,U01238,2025-09-11 01:37:22.390338,2025-09-11 01:49:14.390338,D2,Chrome,Email,2
S000190,U01773,2025-09-10 20:02:54.390338,2025-09-10 20:16:14.390338,D1,Safari,Direct,3
S000191,U01608,2025-09-10 14:01:37.390338,2025-09-10 14:15:16.390338,D1,Edge,Google,2
S000192,U00844,2025-09-10 23:20:58.390338,2025-09-10 23:35:51.390338,D2,Edge,Organic,3
S000193,U01666,2025-09-11 02:27:27.390338,2025-09-11 02:48:12.390338,D2,Firefox,Google,4
S000194,U01542,2025-09-12 02:09:45.390338,2025-09-12 02:26:29.390338,D2,Edge,Google,2
S000195,U00464,2025-09-11 06:03:18.390338,2025-09-11 06:10:16.390338,D3,Chrome,Direct,2
S000196,U01345,2025-09-11 15:20:08.390338,2025-09-11 15:35:49.390338,D1,Safari,Facebook,3
S000197,U00247,2025-09-11 06:06:40.390338,2025-09-11 06:17:06.390338,D1,Chrome,Email,3
S000198,U00745,2025-09-11 04:51:46.390338,2025-09-11 05:05:17.390338,D3,Safari,Email,4
S000199,U01258,2025-09-11 12:39:38.390338,2025-09-11 12:51:28.390338,D2,Safari,Google,2
S000200,U00190,2025-09-11 17:03:45.390338,2025-09-11 17:16:15.390338,D1,Firefox,Facebook,2
S000201,U01882,2025-09-11 08:35:30.390338,2025-09-11 08:47:23.390338,D3,Edge,Google,3
S000202,U00127,2025-09-11 15:45:09.390338,2025-09-11 15:53:33.390338,D1,Edge,Organic,3
S000203,U01736,2025-09-11 17:08:33.390338,2025-09-11 17:29:25.390338,D2,Chrome,Google,4
S000204,U01354,2025-09-11 04:32:46.390338,2025-09-11 04:44:11.390338,D3,Edge,Direct,3
S000205,U00147,2025-09-11 22:29:05.390338,2025-09-11 22:44:53.390338,D2,Safari,Direct,3
S000206,U00482,2025-09-11 15:40:15.390338,2025-09-11 16:03:49.390338,D3,Edge,Facebook,4
S000207,U00740,2025-09-12 00:40:06.390338,2025-09-12 00:53:40.390338,D1,Firefox,Organic,2
S000208,U00750,2025-09-11 05:26:23.390338,2025-09-11 05:32:15.390338,D1,Edge,Direct,4
S000209,U01980,2025-09-11 23:52:33.390338,2025-09-12 00:03:32.390338,D1,Firefox,Direct,2
S000210,U00644,2025-09-11 03:47:57.390338,2025-09-11 04:09:20.390338,D2,Chrome,Facebook,4
S000211,U01143,2025-09-12 00:30:53.390338,2025-09-12 00:44:04.390338,D2,Safari,Facebook,2
S000212,U00406,2025-09-11 12:05:57.390338,2025-09-11 12:14:51.390338,D3,Firefox,Facebook,2
S000213,U00421,2025-09-11 05:27:24.390338,2025-09-11 05:42:14.390338,D1,Safari,Organic,3
S000214,U00945,2025-09-12 00:09:02.390338,2025-09-12 00:26:54.390338,D3,Safari,Direct,3
S000215,U01463,2025-09-12 01:06:45.390338,2025-09-12 01:18:48.390338,D3,Safari,Google,3
S000216,U01420,2025-09-11 18:35:32.390338,2025-09-11 18:46:31.390338,D1,Edge,Google,2
S000217,U01751,2025-09-11 19:10:16.390338,2025-09-11 19:18:16.390338,D3,Edge,Facebook,2
S000218,U01853,2025-09-11 15:59:53.390338,2025-09-11 16:26:12.390338,D2,Edge,Direct,4
S000219,U01626,2025-09-11 07:27:59.390338,2025-09-11 07:42:07.390338,D2,Safari,Google,3
S000220,U00577,2025-09-12 01:07:15.390338,2025-09-12 01:16:16.390338,D2,Chrome,Facebook,2
S000221,U01240,2025-09-12 02:47:43.390338,2025-09-12 03:21:22.390338,D1,Firefox,Email,5
S000222,U01679,2025-09-11 14:08:21.390338,2025-09-11 14:26:23.390338,D1,Edge,Email,4
S000223,U00197,2025-09-11 23:58:59.390338,2025-09-12 00:02:05.390338,D3,Chrome,Facebook,2
S000224,U00775,2025-09-11 14:00:40.390338,2025-09-11 14:31:39.390338,D2,Chrome,Email,5
S000225,U01401,2025-09-11 13:03:22.390338,2025-09-11 13:21:57.390338,D2,Chrome,Organic,4
S000226,U01408,2025-09-11 21:39:10.390338,2025-09-11 21:42:46.390338,D1,Safari,Direct,2
S000227,U00350,2025-09-11 04:21:32.390338,2025-09-11 04:45:36.390338,D2,Chrome,Google,3
S000228,U00171,2025-09-11 11:12:48.390338,2025-09-11 11:30:47.390338,D3,Chrome,Facebook,4
S000229,U00342,2025-09-11 22:58:19.390338,2025-09-11 23:11:17.390338,D3,Safari,Direct,2
S000230,U01114,2025-09-12 02:45:45.390338,2025-09-12 03:01:55.390338,D1,Edge,Direct,3
S000231,U01003,2025-09-11 23:44:25.390338,2025-09-11 23:48:07.390338,D3,Firefox,Organic,1
S000232,U01931,2025-09-11 17:14:00.390338,2025-09-11 17:34:39.390338,D2,Safari,Direct,3
S000233,U01999,2025-09-11 09:26:41.390338,2025-09-11 09:42:57.390338,D3,Safari,Facebook,2
S000234,U01221,2025-09-12 02:58:13.390338,2025-09-12 03:11:31.390338,D3,Firefox,Organic,2
S000235,U00848,2025-09-11 21:24:40.390338,2025-09-11 21:49:04.390338,D2,Safari,Facebook,3
S000236,U00507,2025-09-11 18:44:38.390338,2025-09-11 18:54:34.390338,D3,Firefox,Email,3
S000237,U00875,2025-09-11 03:48:02.390338,2025-09-11 04:04:55.390338,D1,Chrome,Organic,3
S000238,U01935,2025-09-11 20:12:04.390338,2025-09-11 20:18:45.390338,D2,Edge,Direct,3
S000239,U00969,2025-09-11 21:47:52.390338,2025-09-11 21:58:50.390338,D2,Edge,Organic,3
S000240,U00290,2025-09-11 14:07:21.390338,2025-09-11 14:10:44.390338,D1,Chrome,Organic,2
S000241,U01058,2025-09-11 07:21:17.390338,2025-09-11 07:46:50.390338,D2,Chrome,Direct,3
S000242,U00967,2025-09-11 18:46:20.390338,2025-09-11 18:59:13.390338,D2,Edge,Google,4
S000243,U01465,2025-09-11 06:53:59.390338,2025-09-11 07:03:44.390338,D1,Edge,Direct,2
S000244,U01058,2025-09-11 07:05:16.390338,2025-09-11 07:09:27.390338,D3,Chrome,Google,1
S000245,U01667,2025-09-11 20:34:12.390338,2025-09-11 20:52:29.390338,D1,Safari,Direct,4
S000246,U01650,2025-09-11 13:35:00.390338,2025-09-11 13:41:59.390338,D2,Edge,Organic,2
S000247,U00972,2025-09-12 02:55:07.390338,2025-09-12 03:12:31.390338,D1,Chrome,Facebook,3
S000248,U01812,2025-09-11 18:29:02.390338,2025-09-11 18:59:46.390338,D3,Firefox,Email,4
S000249,U01152,2025-09-11 19:33:10.390338,2025-09-11 19:49:59.390338,D3,Chrome,Organic,4
S000250,U01585,2025-09-11 23:49:07.390338,2025-09-12 00:05:48.390338,D3,Chrome,Organic,3
S000251,U00709,2025-09-11 21:31:46.390338,2025-09-11 21:49:34.390338,D2,Edge,Organic,3
S000252,U00848,2025-09-11 20:24:18.390338,2025-09-11 20:31:47.390338,D2,Chrome,Google,3
S000253,U00962,2025-09-11 14:59:34.390338,2025-09-11 15:07:05.390338,D1,Firefox,Email,3
S000254,U00515,2025-09-11 22:03:31.390338,2025-09-11 22:20:26.390338,D1,Chrome,Google,3
S000255,U01906,2025-09-11 16:52:55.390338,2025-09-11 17:18:32.390338,D1,Chrome,Organic,4
S000256,U01139,2025-09-11 05:00:52.390338,2025-09-11 05:16:40.390338,D1,Safari,Facebook,3
S000257,U01634,2025-09-11 18:44:05.390338,2025-09-11 19:15:28.390338,D3,Firefox,Google,4
S000258,U00605,2025-09-12 03:15:20.390338,2025-09-12 03:28:36.390338,D2,Safari,Facebook,2
S000259,U01954,2025-09-11 04:31:40.390338,2025-09-11 04:42:23.390338,D2,Edge,Direct,2
S000260,U00898,2025-09-11 14:59:28.390338,2025-09-11 15:20:42.390338,D3,Firefox,Organic,3
S000261,U00278,2025-09-11 15:40:32.390338,2025-09-11 15:53:11.390338,D1,Chrome,Organic,3
